blue_wins,first_blood,dragons,heralds,towers_destroyed,wards_placed,wards_destroyed,experience,kills,assists,gold,minions,avg_level,elite_monsters,total_jungle_minions_killed
0,1,0,0,0,13,-4,-8,3,3,643,-2,-0.20000000000000018,0,-19
0,0,-1,-1,-1,0,0,-1173,0,3,-2908,-66,-0.20000000000000018,-2,-9
0,0,1,0,0,0,-3,-1033,-4,-10,-1172,-17,-0.39999999999999947,1,18
0,0,0,1,0,28,-1,-7,-1,-5,-1321,-34,0,1,8
0,0,-1,0,0,58,2,230,0,-1,-1004,-15,0,-1,-10
1,0,1,0,0,-18,-5,101,2,4,698,4,0,1,-17
1,1,1,0,0,-39,2,1563,1,-2,2411,61,0.39999999999999947,1,18
0,0,-1,0,0,1,2,-800,-8,-8,-2615,52,-0.1999999999999993,-1,-6
0,0,-1,-1,0,1,1,-771,0,3,-1979,-51,0,-2,8
1,1,1,0,0,-3,-1,-1574,-1,1,-1548,-27,0,1,-4
0,1,-1,0,0,5,1,-1585,0,1,331,15,-0.6000000000000005,-1,-23
0,1,0,1,0,16,1,-635,0,-2,-1505,-31,0,1,-12
1,1,1,0,0,6,0,1659,6,10,3274,-2,0.6000000000000005,1,3
0,0,0,1,0,-6,0,-1141,-5,-10,-3414,-19,-0.6000000000000005,1,1
1,1,0,0,0,-87,2,-187,0,1,-470,-18,-0.20000000000000018,0,3
0,0,0,0,0,-1,-2,-1804,-4,-10,-1996,-28,-0.40000000000000036,0,2
1,1,-1,0,0,1,-1,3378,8,6,5228,53,0.7999999999999998,-1,-8
0,0,0,1,0,26,-11,-1345,-4,-3,-1975,-15,0,1,1
1,1,-1,-1,0,2,1,512,1,8,882,-15,0.20000000000000018,-2,-3
0,0,0,0,0,-4,2,-2773,-4,-4,-3155,-31,-0.40000000000000036,0,-8
1,1,1,0,0,2,1,1625,5,11,2526,-11,0.20000000000000018,1,-3
0,0,-1,0,0,-2,-2,-2821,-9,-9,-2835,-6,-0.40000000000000036,-1,-2
0,0,-1,0,0,1,-1,-567,-2,-7,-1254,7,0,-1,-4
0,0,1,1,0,63,1,1283,1,1,406,18,-0.20000000000000018,2,3
1,0,0,0,0,15,0,493,-3,-3,-1020,11,0.20000000000000018,0,9
0,0,-1,0,0,-2,-1,-1067,-4,-9,-2472,-17,-0.7999999999999998,-1,8
1,0,1,0,0,8,-2,-55,2,6,1260,-24,0.20000000000000018,1,8
0,1,-1,0,0,5,-1,2015,3,7,1857,26,0.40000000000000036,-1,12
0,1,1,0,0,40,2,-413,2,2,1320,-6,0,1,13
0,0,1,0,0,0,2,-1647,-5,-10,-3282,8,-0.6000000000000005,1,0
1,1,1,0,0,1,3,2111,5,8,2883,1,0.7999999999999998,1,4
1,1,1,1,0,2,2,1696,3,4,1703,12,0.39999999999999947,2,3
0,0,-1,0,0,-7,1,-85,2,3,608,-3,0,-1,-12
0,1,-1,0,0,1,1,-359,1,0,71,-21,0,-1,7
1,0,-1,0,0,25,1,872,2,-1,275,-19,0.20000000000000018,-1,-6
0,0,-1,-1,0,7,1,638,-1,-1,-809,17,0,-2,2
0,0,1,0,0,-2,2,-1125,-6,-3,-2771,-17,-0.20000000000000018,1,20
0,1,-1,1,0,-20,-2,-1236,-1,-2,-1730,-11,-0.20000000000000018,0,-19
0,0,-1,1,0,-7,2,1377,-2,-4,-904,7,0.20000000000000018,0,28
0,0,-1,1,0,-18,-1,-1363,-3,-3,-1683,-23,-0.40000000000000036,0,4
0,0,-1,0,0,-13,3,-1833,-7,-13,-3025,9,-0.40000000000000036,-1,9
1,0,0,0,0,20,-1,2300,4,5,3004,46,0.40000000000000036,0,5
1,0,1,0,0,1,1,761,3,8,1574,10,0,1,-18
1,1,0,0,0,-7,1,-1423,0,-1,-1036,12,-0.40000000000000036,0,-28
0,1,-1,1,0,-21,0,433,-1,0,16,9,0.40000000000000036,0,11
0,0,0,-1,-1,29,-1,-4210,-9,-6,-6386,-60,-0.7999999999999998,-1,-24
1,1,0,0,0,-1,1,3310,9,7,5096,55,1.1999999999999993,0,-5
1,1,1,0,1,6,-4,1683,4,0,2756,18,0.20000000000000018,1,-3
1,0,0,1,0,3,-2,-1025,-1,1,-977,-38,-0.20000000000000018,1,-12
0,0,0,0,0,-22,-5,-1655,0,2,-808,-35,-0.40000000000000036,0,12
0,0,-1,0,0,-8,-4,-407,-2,-8,-1559,3,-0.20000000000000018,-1,-3
1,0,0,0,0,6,-1,75,-2,-1,544,31,0,0,5
1,1,1,1,0,6,1,1017,3,1,1381,5,0,2,-7
1,1,-1,0,0,22,1,1449,2,0,2031,38,0.40000000000000036,-1,-14
0,0,1,0,0,-6,2,370,0,1,131,19,-0.20000000000000018,1,-8
0,0,-1,1,0,-14,0,-2749,-6,-7,-2699,23,-0.40000000000000036,0,-1
0,1,1,0,0,3,0,-2698,-2,1,-1672,-37,-0.6000000000000005,1,-13
1,1,1,0,0,1,-1,316,4,6,1201,-21,0.40000000000000036,1,-2
1,1,1,1,0,15,-1,59,2,1,-108,-25,0.20000000000000018,2,11
0,0,-1,0,1,-8,-1,2269,3,5,4633,54,0.6000000000000005,-1,13
0,0,-1,0,0,0,1,-1391,-5,-4,-2262,-27,-0.20000000000000018,-1,14
0,0,-1,0,0,7,1,500,-1,-5,-49,1,0.20000000000000018,-1,25
1,1,1,-1,0,-18,-1,1089,2,-1,1687,-3,0,0,-2
1,1,1,1,0,108,0,2922,8,9,3933,-4,0.7999999999999998,2,28
0,0,1,0,0,-4,2,-4397,-6,-3,-4061,-21,-0.8000000000000007,1,-31
0,0,0,-1,-1,37,1,-3280,-6,-4,-4920,-52,-0.8000000000000007,-1,-20
0,0,0,0,0,8,-2,-1839,-1,1,-1705,-17,-0.20000000000000018,0,-10
0,1,1,-1,0,8,-1,-1547,-1,3,105,12,-0.20000000000000018,0,4
1,0,-1,0,0,3,-1,521,-2,-3,-554,-1,0.20000000000000018,-1,13
0,1,-1,0,0,1,1,-1577,-1,-1,-1037,-43,-0.20000000000000018,-1,9
0,1,-1,1,-1,3,-3,480,1,-4,-1144,3,0,0,17
1,1,-1,0,0,24,-1,953,1,3,1173,14,0.20000000000000018,-1,-31
0,1,-1,0,0,5,-1,2534,6,9,3194,24,0.40000000000000036,-1,-7
0,1,1,0,0,1,3,-1136,-5,-6,-2622,12,-0.20000000000000018,1,2
